Trade #,Balance,Profit,Risk %,Lot Size
1,$30.00,$0.60,1.00%,0.0
2,$30.60,$0.61,1.00%,0.0
3,$31.21,$0.62,1.00%,0.0
4,$31.84,$0.64,1.00%,0.0
5,$32.47,$0.65,1.00%,0.0
6,$33.12,$0.66,1.00%,0.0
7,$33.78,$0.68,1.00%,0.0
8,$34.46,$0.69,1.00%,0.0
9,$35.15,$0.70,1.00%,0.0
10,$35.85,$0.72,1.00%,0.0
11,$36.57,$0.73,1.00%,0.0
12,$37.30,$0.75,1.00%,0.0
13,$38.05,$0.76,1.00%,0.0
14,$38.81,$0.78,1.00%,0.0
15,$39.58,$0.79,1.00%,0.0
16,$40.38,$0.81,1.00%,0.0
17,$41.18,$0.82,1.00%,0.0
18,$42.01,$0.84,1.00%,0.0
19,$42.85,$0.86,1.00%,0.0
20,$43.70,$0.87,1.00%,0.0
21,$44.58,$0.89,1.00%,0.0
22,$45.47,$0.91,1.00%,0.0
23,$46.38,$0.93,1.00%,0.0
24,$47.31,$0.95,1.00%,0.0
25,$48.25,$0.97,1.00%,0.0
26,$49.22,$0.98,1.00%,0.0
27,$50.20,$1.00,1.00%,0.01
28,$51.21,$1.02,1.00%,0.01
29,$52.23,$1.04,1.00%,0.01
30,$53.28,$1.07,1.00%,0.01
31,$54.34,$1.09,1.00%,0.01
32,$55.43,$1.11,1.00%,0.01
33,$56.54,$1.13,1.00%,0.01
34,$57.67,$1.15,1.00%,0.01
35,$58.82,$1.18,1.00%,0.01
36,$60.00,$1.20,1.00%,0.01
37,$61.20,$1.22,1.00%,0.01
38,$62.42,$1.25,1.00%,0.01
39,$63.67,$1.27,1.00%,0.01
40,$64.94,$1.30,1.00%,0.01
41,$66.24,$1.32,1.00%,0.01
42,$67.57,$1.35,1.00%,0.01
43,$68.92,$1.38,1.00%,0.01
44,$70.30,$1.41,1.00%,0.01
45,$71.70,$1.43,1.00%,0.01
46,$73.14,$1.46,1.00%,0.01
47,$74.60,$1.49,1.00%,0.01
48,$76.09,$1.52,1.00%,0.01
49,$77.61,$1.55,1.00%,0.01
50,$79.16,$1.58,1.00%,0.01
51,$80.75,$1.61,1.00%,0.01
52,$82.36,$1.65,1.00%,0.01
53,$84.01,$1.68,1.00%,0.01
54,$85.69,$1.71,1.00%,0.01
55,$87.40,$1.75,1.00%,0.01
